"","BRCA1","nonBRCA1","FC_nonBRCA1_BRCA1","logFC_nonBRCA1_BRCA1","p.val.adj.nonBRCA1.BRCA1","labels","input.mz","input.rt","M+H","M+NH4","M+Na","M+K","M+H-H2O","M+H-2H2O"
"FT00052",33980.35546875,25914.65625,-1.31124083379458,-0.39093268770411,3.62630998166533e-06,"FT00052",102.090629639158,243.899215698242,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00054",28740.701171875,29436.0791015625,1.02419488395669,0.0344902576882725,0.441511713070338,"FT00054",102.090702331118,372.826904296875,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00056",6658.111328125,5255.775390625,-1.26681808739419,-0.341209371158571,0.000360630308334035,"FT00056",102.0906245992,104.971424102783,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00057",36716.453125,38082.5,1.03720530603404,0.0527014917217121,0.0909601430672106,"FT00057",102.09067843824,482.804122924805,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00059",25183.763671875,25112.4892578125,-1.00283820585569,-0.0040888657325982,0.338042353460043,"FT00059",102.09060255751,317.584945678711,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00060",3752.54125976562,22129.6665039062,5.89724801727787,2.56004187005818,5.40998241040222e-05,"FT00060",102.090411196317,60.6515045166016,"5-Aminopentanal","No hit","No hit","No hit","No hit","No hit"
"FT00061",27013.60546875,27712.484375,1.02587136719156,0.0368498444449257,0.702938695521579,"FT00061",102.090658597335,347.625244140625,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00063",36339.75,37909.49609375,1.04319639220826,0.0610107852718727,0.254438983370245,"FT00063",102.090667788735,538.043029785156,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00064",35264.20703125,35219.9921875,-1.00125539050419,-0.00181000975781584,0.485882149515757,"FT00064",102.090661599088,437.078948974609,"5-Aminopentanal","Methyl propenyl ketone;3-Methyl-2-butenal;Cyclopentanone;Tiglic aldehyde;3-Methyl-3-buten-2-one;2-Pentenal;4-Penten-2-one;1-Penten-3-one;4-Pentenal","No hit","No hit","No hit","No hit"
"FT00070",1283082.375,1036503.9375,-1.23789435676891,-0.307888198664555,5.0354777056866e-07,"FT00070",102.127171644495,243.487899780273,"Hexylamine;Triethylamine","Cyclohexane;Methylcyclopentane","No hit","No hit","No hit","No hit"
